strategy,mean_is_bps,std_is_bps,p95_is_bps,mean_completion,n_episodes,exec_sharpe,date
TWAP,1.6605,9.9167,17.9952,1.0,48,-0.1674,2025-11-29
VWAP,1.6859,9.9359,18.1481,1.0,48,-0.1697,2025-11-29
AC_k1.0,1.7092,9.3673,17.7145,1.0,48,-0.1825,2025-11-29
PINN_k1.0,1.7092,9.3673,17.7145,1.0,48,-0.1825,2025-11-29
AC_k12.0,1.78,3.6057,7.8307,1.0,48,-0.4937,2025-11-29
PINN_k12.0,1.7801,3.6056,7.8312,1.0,48,-0.4937,2025-11-29
AC_k2.0,1.8095,8.2329,16.1419,1.0,48,-0.2198,2025-11-29
PINN_k2.0,1.8095,8.2329,16.1418,1.0,48,-0.2198,2025-11-29
AC_k3.0,1.8947,7.1824,14.399,1.0,48,-0.2638,2025-11-29
PINN_k3.0,1.8947,7.1824,14.399,1.0,48,-0.2638,2025-11-29
AC_k8.0,1.9062,4.5973,9.2646,1.0,48,-0.4146,2025-11-29
PINN_k8.0,1.9064,4.5977,9.2666,1.0,48,-0.4146,2025-11-29
AC_k5.0,1.9578,5.7899,11.1133,1.0,48,-0.3381,2025-11-29
PINN_k5.0,1.9578,5.7899,11.1133,1.0,48,-0.3381,2025-11-29
AC_k12.0,1.3566,3.0429,6.3003,1.0,48,-0.4458,2025-11-30
PINN_k12.0,1.3567,3.0425,6.3004,1.0,48,-0.4459,2025-11-30
TWAP,1.3806,11.4643,17.0738,1.0,48,-0.1204,2025-11-30
VWAP,1.4038,11.7197,17.6825,1.0,48,-0.1198,2025-11-30
AC_k1.0,1.4305,10.7593,15.9033,1.0,48,-0.133,2025-11-30
PINN_k1.0,1.4305,10.7593,15.9033,1.0,48,-0.133,2025-11-30
AC_k8.0,1.5058,4.2186,8.3342,1.0,48,-0.3569,2025-11-30
PINN_k8.0,1.5062,4.218,8.3339,1.0,48,-0.3571,2025-11-30
AC_k2.0,1.5291,9.2681,13.7801,1.0,48,-0.165,2025-11-30
