strategy,mean_is_bps,std_is_bps,exec_sharpe,n_days
TWAP,1.5009,13.3765,-0.1131,5
VWAP,1.5019,13.283,-0.114,5
AC_k1.0,1.556,12.582,-0.1251,5
PINN_k1.0,1.556,12.582,-0.1251,5
AC_k12.0,1.6129,4.3289,-0.3828,5
PINN_k12.0,1.613,4.3289,-0.3828,5
AC_k2.0,1.6667,10.9303,-0.1553,5
PINN_k2.0,1.6667,10.9303,-0.1553,5
AC_k8.0,1.7515,5.6434,-0.3182,5
PINN_k8.0,1.7519,5.6434,-0.3183,5
AC_k3.0,1.7569,9.3872,-0.1914,5
PINN_k3.0,1.7569,9.3872,-0.1914,5
AC_k5.0,1.8153,7.3392,-0.2536,5
PINN_k5.0,1.8154,7.3392,-0.2536,5
